time_matrix;configurations;answer;answer_time
[[6, 6, 16], [19, 19, 6], [13, 5, 11]];[[1, 2, 3], [1, 1, 2], [3, 2, 2], [3, 3, 3], [1, 3, 3], [3, 2, 3], [1, 1, 1], [2, 3, 2], [3, 1, 3], [3, 2, 1]];[[1, 1, 2], [1, 1, 1], [3, 1, 3], [3, 3, 3], [1, 3, 3], [1, 2, 3], [3, 2, 3], [3, 2, 1], [3, 2, 2], [2, 3, 2]];147
[[6, 6, 16], [19, 19, 6], [13, 5, 11]];[[1, 2, 3], [1, 1, 2], [3, 2, 2], [3, 3, 3], [1, 3, 3], [3, 2, 3], [1, 1, 1], [2, 3, 2], [3, 1, 3], [3, 2, 1]];[[1, 1, 2], [1, 1, 1], [3, 1, 3], [3, 3, 3], [3, 2, 3], [3, 2, 2], [3, 2, 1], [1, 2, 3], [1, 3, 3], [2, 3, 2]];147
[[6, 6, 16], [19, 19, 6], [13, 5, 11]];[[1, 2, 3], [1, 1, 2], [3, 2, 2], [3, 3, 3], [1, 3, 3], [3, 2, 3], [1, 1, 1], [2, 3, 2], [3, 1, 3], [3, 2, 1]];[[1, 1, 2], [1, 1, 1], [3, 1, 3], [3, 3, 3], [3, 2, 3], [3, 2, 1], [3, 2, 2], [1, 2, 3], [1, 3, 3], [2, 3, 2]];147
[[6, 6, 16], [19, 19, 6], [13, 5, 11]];[[1, 2, 3], [1, 1, 2], [3, 2, 2], [3, 3, 3], [1, 3, 3], [3, 2, 3], [1, 1, 1], [2, 3, 2], [3, 1, 3], [3, 2, 1]];[[1, 1, 2], [1, 1, 1], [3, 1, 3], [3, 3, 3], [3, 2, 1], [3, 2, 2], [3, 2, 3], [1, 2, 3], [1, 3, 3], [2, 3, 2]];147
[[6, 6, 16], [19, 19, 6], [13, 5, 11]];[[1, 2, 3], [1, 1, 2], [3, 2, 2], [3, 3, 3], [1, 3, 3], [3, 2, 3], [1, 1, 1], [2, 3, 2], [3, 1, 3], [3, 2, 1]];[[3, 2, 2], [3, 2, 1], [3, 2, 3], [1, 2, 3], [1, 3, 3], [3, 3, 3], [3, 1, 3], [1, 1, 1], [1, 1, 2], [2, 3, 2]];147
[[5, 14, 18], [6, 10, 10], [5, 11, 18]];[[1, 1, 1], [3, 1, 3], [2, 1, 3], [2, 1, 1], [2, 3, 3], [1, 1, 2], [3, 3, 3], [1, 2, 2], [1, 3, 1], [1, 1, 3]];[[1, 1, 1], [2, 1, 1], [2, 1, 3], [2, 3, 3], [3, 3, 3], [3, 1, 3], [1, 1, 3], [1, 1, 2], [1, 2, 2], [1, 3, 1]];123
[[5, 14, 18], [6, 10, 10], [5, 11, 18]];[[1, 1, 1], [3, 1, 3], [2, 1, 3], [2, 1, 1], [2, 3, 3], [1, 1, 2], [3, 3, 3], [1, 2, 2], [1, 3, 1], [1, 1, 3]];[[2, 1, 1], [2, 1, 3], [2, 3, 3], [3, 3, 3], [3, 1, 3], [1, 1, 3], [1, 1, 1], [1, 1, 2], [1, 2, 2], [1, 3, 1]];123
[[17, 17, 19], [7, 16, 8], [18, 12, 19]];[[2, 2, 1], [1, 2, 3], [1, 3, 1], [1, 1, 1], [3, 1, 2], [3, 3, 1], [1, 3, 2], [2, 1, 1], [3, 1, 3], [1, 3, 3]];[[2, 2, 1], [2, 1, 1], [1, 1, 1], [1, 3, 1], [3, 3, 1], [3, 1, 2], [3, 1, 3], [1, 2, 3], [1, 3, 3], [1, 3, 2]];193
[[10, 17, 6], [5, 12, 5], [18, 12, 16]];[[2, 3, 2], [1, 2, 3], [1, 3, 2], [3, 1, 3], [1, 1, 1], [2, 2, 2], [3, 3, 1], [3, 1, 2], [3, 2, 3], [1, 2, 1]];[[1, 3, 2], [2, 3, 2], [2, 2, 2], [3, 1, 2], [3, 1, 3], [3, 2, 3], [1, 2, 3], [1, 2, 1], [1, 1, 1], [3, 3, 1]];139
[[13, 13, 12], [14, 18, 5], [5, 18, 5]];[[2, 3, 3], [3, 2, 2], [2, 2, 2], [2, 3, 2], [3, 2, 1], [1, 2, 1], [3, 2, 3], [2, 1, 1], [3, 1, 3], [1, 3, 2]];[[2, 3, 3], [2, 1, 1], [3, 1, 3], [3, 2, 3], [3, 2, 1], [3, 2, 2], [2, 2, 2], [2, 3, 2], [1, 3, 2], [1, 2, 1]];154
[[10, 19, 16], [10, 8, 6], [20, 12, 18]];[[3, 1, 1], [2, 2, 1], [1, 2, 3], [3, 3, 3], [3, 3, 2], [2, 3, 2], [2, 2, 2], [3, 1, 3], [2, 1, 3], [3, 2, 1]];[[3, 1, 1], [3, 2, 1], [2, 2, 1], [2, 2, 2], [2, 3, 2], [3, 3, 2], [3, 3, 3], [3, 1, 3], [2, 1, 3], [1, 2, 3]];172
[[10, 19, 16], [10, 8, 6], [20, 12, 18]];[[3, 1, 1], [2, 2, 1], [1, 2, 3], [3, 3, 3], [3, 3, 2], [2, 3, 2], [2, 2, 2], [3, 1, 3], [2, 1, 3], [3, 2, 1]];[[1, 2, 3], [2, 1, 3], [3, 1, 3], [3, 3, 3], [3, 3, 2], [2, 3, 2], [2, 2, 2], [2, 2, 1], [3, 2, 1], [3, 1, 1]];172
[[10, 7, 7], [7, 5, 16], [8, 12, 6]];[[3, 1, 1], [3, 2, 1], [1, 1, 1], [1, 1, 2], [3, 3, 3], [1, 3, 3], [2, 1, 1], [1, 3, 1], [3, 3, 1], [2, 3, 3]];[[1, 1, 2], [1, 1, 1], [1, 3, 1], [1, 3, 3], [2, 3, 3], [3, 3, 3], [3, 3, 1], [3, 2, 1], [3, 1, 1], [2, 1, 1]];100
[[7, 7, 13], [13, 7, 14], [14, 14, 9]];[[1, 2, 2], [3, 1, 3], [1, 3, 2], [2, 2, 3], [2, 2, 2], [3, 2, 3], [3, 1, 2], [2, 1, 3], [3, 1, 1], [2, 2, 1]];[[1, 3, 2], [1, 2, 2], [2, 2, 2], [2, 2, 1], [3, 1, 1], [3, 1, 2], [3, 1, 3], [3, 2, 3], [2, 2, 3], [2, 1, 3]];139
[[7, 7, 13], [13, 7, 14], [14, 14, 9]];[[1, 2, 2], [3, 1, 3], [1, 3, 2], [2, 2, 3], [2, 2, 2], [3, 2, 3], [3, 1, 2], [2, 1, 3], [3, 1, 1], [2, 2, 1]];[[1, 3, 2], [1, 2, 2], [2, 2, 2], [2, 2, 1], [3, 1, 1], [3, 1, 2], [3, 1, 3], [2, 1, 3], [2, 2, 3], [3, 2, 3]];139
[[8, 20, 14], [11, 16, 12], [6, 5, 16]];[[2, 1, 1], [1, 1, 2], [3, 1, 3], [1, 1, 3], [1, 3, 1], [3, 3, 1], [1, 3, 2], [3, 2, 1], [2, 1, 2], [2, 2, 1]];[[3, 1, 3], [1, 1, 3], [1, 1, 2], [2, 1, 2], [2, 1, 1], [2, 2, 1], [3, 2, 1], [3, 3, 1], [1, 3, 1], [1, 3, 2]];135
[[12, 15, 12], [11, 14, 5], [20, 10, 13]];[[2, 3, 1], [1, 3, 1], [1, 1, 1], [2, 2, 3], [2, 1, 1], [3, 1, 3], [1, 2, 2], [3, 3, 2], [2, 2, 1], [1, 3, 3]];[[2, 2, 3], [2, 2, 1], [2, 3, 1], [2, 1, 1], [1, 1, 1], [1, 3, 1], [1, 3, 3], [3, 1, 3], [3, 3, 2], [1, 2, 2]];172
[[9, 11, 13], [19, 6, 19], [20, 10, 6]];[[1, 3, 2], [2, 2, 1], [2, 1, 2], [1, 3, 1], [1, 1, 3], [2, 2, 2], [1, 2, 2], [3, 3, 2], [3, 3, 3], [1, 2, 3]];[[2, 1, 2], [1, 1, 3], [1, 2, 3], [1, 2, 2], [2, 2, 2], [2, 2, 1], [1, 3, 1], [1, 3, 2], [3, 3, 2], [3, 3, 3]];159
[[9, 11, 13], [19, 6, 19], [20, 10, 6]];[[1, 3, 2], [2, 2, 1], [2, 1, 2], [1, 3, 1], [1, 1, 3], [2, 2, 2], [1, 2, 2], [3, 3, 2], [3, 3, 3], [1, 2, 3]];[[1, 1, 3], [2, 1, 2], [2, 2, 2], [2, 2, 1], [1, 3, 1], [3, 3, 3], [3, 3, 2], [1, 3, 2], [1, 2, 2], [1, 2, 3]];159
[[9, 11, 15], [13, 16, 16], [6, 11, 15]];[[3, 1, 2], [3, 3, 3], [1, 1, 1], [1, 2, 1], [3, 2, 2], [1, 3, 2], [3, 2, 3], [1, 1, 2], [3, 3, 1], [2, 2, 2]];[[3, 1, 2], [1, 1, 2], [1, 1, 1], [1, 2, 1], [2, 2, 2], [3, 2, 2], [3, 2, 3], [3, 3, 3], [3, 3, 1], [1, 3, 2]];164
[[5, 18, 11], [13, 5, 7], [11, 15, 15]];[[3, 1, 2], [2, 3, 1], [2, 3, 3], [3, 1, 3], [2, 2, 1], [1, 2, 1], [2, 3, 2], [3, 1, 1], [1, 2, 2], [3, 3, 3]];[[3, 1, 2], [3, 1, 1], [3, 1, 3], [3, 3, 3], [2, 3, 3], [2, 3, 2], [2, 3, 1], [2, 2, 1], [1, 2, 1], [1, 2, 2]];141
[[15, 15, 16], [10, 11, 20], [10, 5, 8]];[[1, 2, 2], [2, 1, 1], [2, 2, 2], [2, 1, 2], [3, 3, 3], [1, 3, 3], [1, 2, 1], [2, 1, 3], [2, 2, 1], [3, 3, 1]];[[2, 1, 1], [2, 1, 3], [2, 1, 2], [2, 2, 2], [2, 2, 1], [1, 2, 1], [1, 2, 2], [1, 3, 3], [3, 3, 3], [3, 3, 1]];143
[[15, 15, 16], [10, 11, 20], [10, 5, 8]];[[1, 2, 2], [2, 1, 1], [2, 2, 2], [2, 1, 2], [3, 3, 3], [1, 3, 3], [1, 2, 1], [2, 1, 3], [2, 2, 1], [3, 3, 1]];[[2, 1, 2], [2, 1, 3], [2, 1, 1], [2, 2, 1], [2, 2, 2], [1, 2, 2], [1, 2, 1], [1, 3, 3], [3, 3, 3], [3, 3, 1]];143
[[5, 5, 16], [5, 8, 14], [11, 9, 10]];[[3, 3, 3], [2, 3, 3], [2, 1, 2], [2, 1, 3], [2, 3, 1], [3, 1, 1], [1, 2, 1], [3, 2, 2], [2, 2, 3], [3, 1, 2]];[[2, 1, 2], [2, 1, 3], [2, 2, 3], [1, 2, 1], [2, 3, 1], [2, 3, 3], [3, 3, 3], [3, 1, 1], [3, 1, 2], [3, 2, 2]];131
[[5, 5, 16], [5, 8, 14], [11, 9, 10]];[[3, 3, 3], [2, 3, 3], [2, 1, 2], [2, 1, 3], [2, 3, 1], [3, 1, 1], [1, 2, 1], [3, 2, 2], [2, 2, 3], [3, 1, 2]];[[2, 1, 2], [2, 1, 3], [2, 2, 3], [1, 2, 1], [2, 3, 1], [2, 3, 3], [3, 3, 3], [3, 2, 2], [3, 1, 2], [3, 1, 1]];131
[[5, 5, 16], [5, 8, 14], [11, 9, 10]];[[3, 3, 3], [2, 3, 3], [2, 1, 2], [2, 1, 3], [2, 3, 1], [3, 1, 1], [1, 2, 1], [3, 2, 2], [2, 2, 3], [3, 1, 2]];[[2, 1, 2], [2, 1, 3], [2, 2, 3], [1, 2, 1], [3, 1, 1], [3, 1, 2], [3, 2, 2], [3, 3, 3], [2, 3, 3], [2, 3, 1]];131
[[5, 5, 16], [5, 8, 14], [11, 9, 10]];[[3, 3, 3], [2, 3, 3], [2, 1, 2], [2, 1, 3], [2, 3, 1], [3, 1, 1], [1, 2, 1], [3, 2, 2], [2, 2, 3], [3, 1, 2]];[[2, 1, 2], [2, 1, 3], [2, 2, 3], [3, 2, 2], [3, 1, 2], [3, 1, 1], [3, 3, 3], [2, 3, 3], [2, 3, 1], [1, 2, 1]];131
[[5, 5, 16], [5, 8, 14], [11, 9, 10]];[[3, 3, 3], [2, 3, 3], [2, 1, 2], [2, 1, 3], [2, 3, 1], [3, 1, 1], [1, 2, 1], [3, 2, 2], [2, 2, 3], [3, 1, 2]];[[2, 3, 1], [2, 3, 3], [3, 3, 3], [3, 2, 2], [3, 1, 2], [3, 1, 1], [1, 2, 1], [2, 2, 3], [2, 1, 3], [2, 1, 2]];131
[[18, 10, 14], [9, 18, 7], [16, 11, 13]];[[1, 3, 3], [1, 2, 3], [1, 3, 2], [2, 3, 1], [3, 2, 1], [1, 1, 3], [1, 2, 2], [3, 2, 2], [3, 3, 3], [3, 2, 3]];[[1, 3, 2], [1, 2, 2], [1, 2, 3], [1, 1, 3], [1, 3, 3], [3, 3, 3], [3, 2, 3], [3, 2, 2], [3, 2, 1], [2, 3, 1]];159
[[18, 10, 14], [9, 18, 7], [16, 11, 13]];[[1, 3, 3], [1, 2, 3], [1, 3, 2], [2, 3, 1], [3, 2, 1], [1, 1, 3], [1, 2, 2], [3, 2, 2], [3, 3, 3], [3, 2, 3]];[[2, 3, 1], [3, 2, 1], [3, 2, 2], [3, 2, 3], [3, 3, 3], [1, 3, 3], [1, 1, 3], [1, 2, 3], [1, 2, 2], [1, 3, 2]];159
[[6, 6, 6], [15, 13, 9], [13, 12, 5]];[[1, 3, 2], [1, 3, 3], [2, 2, 1], [3, 3, 1], [3, 3, 2], [2, 3, 3], [3, 1, 1], [3, 2, 3], [3, 2, 1], [1, 2, 3]];[[1, 3, 2], [3, 3, 2], [3, 3, 1], [3, 1, 1], [2, 2, 1], [3, 2, 1], [3, 2, 3], [1, 2, 3], [1, 3, 3], [2, 3, 3]];112
[[6, 6, 6], [15, 13, 9], [13, 12, 5]];[[1, 3, 2], [1, 3, 3], [2, 2, 1], [3, 3, 1], [3, 3, 2], [2, 3, 3], [3, 1, 1], [3, 2, 3], [3, 2, 1], [1, 2, 3]];[[1, 3, 2], [3, 3, 2], [3, 3, 1], [3, 1, 1], [3, 2, 1], [2, 2, 1], [3, 2, 3], [1, 2, 3], [1, 3, 3], [2, 3, 3]];112
[[13, 18, 19], [6, 15, 8], [11, 17, 20]];[[3, 2, 2], [3, 3, 3], [1, 1, 2], [1, 2, 3], [2, 2, 2], [3, 1, 1], [1, 3, 3], [1, 2, 2], [1, 3, 1], [2, 1, 2]];[[1, 1, 2], [2, 1, 2], [2, 2, 2], [3, 2, 2], [1, 2, 2], [1, 2, 3], [1, 3, 3], [3, 3, 3], [3, 1, 1], [1, 3, 1]];186
[[18, 7, 20], [12, 19, 19], [6, 12, 6]];[[1, 1, 1], [2, 2, 3], [3, 3, 3], [3, 1, 3], [3, 1, 2], [2, 3, 3], [2, 2, 1], [2, 1, 3], [2, 2, 2], [3, 2, 1]];[[1, 1, 1], [2, 1, 3], [2, 2, 3], [2, 2, 2], [2, 2, 1], [3, 2, 1], [3, 1, 2], [3, 1, 3], [3, 3, 3], [2, 3, 3]];162
[[18, 7, 20], [12, 19, 19], [6, 12, 6]];[[1, 1, 1], [2, 2, 3], [3, 3, 3], [3, 1, 3], [3, 1, 2], [2, 3, 3], [2, 2, 1], [2, 1, 3], [2, 2, 2], [3, 2, 1]];[[1, 1, 1], [2, 1, 3], [2, 3, 3], [3, 3, 3], [3, 1, 3], [3, 1, 2], [3, 2, 1], [2, 2, 1], [2, 2, 3], [2, 2, 2]];162
[[18, 7, 20], [12, 19, 19], [6, 12, 6]];[[1, 1, 1], [2, 2, 3], [3, 3, 3], [3, 1, 3], [3, 1, 2], [2, 3, 3], [2, 2, 1], [2, 1, 3], [2, 2, 2], [3, 2, 1]];[[1, 1, 1], [2, 1, 3], [2, 3, 3], [3, 3, 3], [3, 1, 3], [3, 1, 2], [3, 2, 1], [2, 2, 1], [2, 2, 2], [2, 2, 3]];162
[[18, 7, 20], [12, 19, 19], [6, 12, 6]];[[1, 1, 1], [2, 2, 3], [3, 3, 3], [3, 1, 3], [3, 1, 2], [2, 3, 3], [2, 2, 1], [2, 1, 3], [2, 2, 2], [3, 2, 1]];[[2, 2, 3], [2, 2, 2], [2, 2, 1], [3, 2, 1], [3, 1, 2], [3, 1, 3], [3, 3, 3], [2, 3, 3], [2, 1, 3], [1, 1, 1]];162
[[11, 15, 20], [14, 7, 19], [9, 5, 18]];[[2, 2, 1], [3, 3, 3], [2, 3, 1], [1, 3, 2], [3, 2, 3], [3, 2, 1], [1, 1, 2], [3, 2, 2], [1, 3, 1], [2, 2, 3]];[[3, 3, 3], [3, 2, 3], [3, 2, 1], [3, 2, 2], [2, 2, 3], [2, 2, 1], [2, 3, 1], [1, 3, 1], [1, 3, 2], [1, 1, 2]];169
[[11, 15, 20], [14, 7, 19], [9, 5, 18]];[[2, 2, 1], [3, 3, 3], [2, 3, 1], [1, 3, 2], [3, 2, 3], [3, 2, 1], [1, 1, 2], [3, 2, 2], [1, 3, 1], [2, 2, 3]];[[3, 3, 3], [3, 2, 3], [3, 2, 2], [3, 2, 1], [2, 2, 1], [2, 2, 3], [2, 3, 1], [1, 3, 1], [1, 3, 2], [1, 1, 2]];169
[[11, 15, 20], [14, 7, 19], [9, 5, 18]];[[2, 2, 1], [3, 3, 3], [2, 3, 1], [1, 3, 2], [3, 2, 3], [3, 2, 1], [1, 1, 2], [3, 2, 2], [1, 3, 1], [2, 2, 3]];[[3, 3, 3], [3, 2, 3], [3, 2, 2], [3, 2, 1], [2, 2, 3], [2, 2, 1], [2, 3, 1], [1, 3, 1], [1, 3, 2], [1, 1, 2]];169
[[11, 15, 20], [14, 7, 19], [9, 5, 18]];[[2, 2, 1], [3, 3, 3], [2, 3, 1], [1, 3, 2], [3, 2, 3], [3, 2, 1], [1, 1, 2], [3, 2, 2], [1, 3, 1], [2, 2, 3]];[[3, 3, 3], [3, 2, 1], [3, 2, 2], [3, 2, 3], [2, 2, 3], [2, 2, 1], [2, 3, 1], [1, 3, 1], [1, 3, 2], [1, 1, 2]];169
[[11, 15, 20], [14, 7, 19], [9, 5, 18]];[[2, 2, 1], [3, 3, 3], [2, 3, 1], [1, 3, 2], [3, 2, 3], [3, 2, 1], [1, 1, 2], [3, 2, 2], [1, 3, 1], [2, 2, 3]];[[3, 3, 3], [3, 2, 2], [3, 2, 1], [3, 2, 3], [2, 2, 3], [2, 2, 1], [2, 3, 1], [1, 3, 1], [1, 3, 2], [1, 1, 2]];169
[[11, 15, 20], [14, 7, 19], [9, 5, 18]];[[2, 2, 1], [3, 3, 3], [2, 3, 1], [1, 3, 2], [3, 2, 3], [3, 2, 1], [1, 1, 2], [3, 2, 2], [1, 3, 1], [2, 2, 3]];[[1, 3, 2], [1, 3, 1], [2, 3, 1], [2, 2, 1], [2, 2, 3], [3, 3, 3], [3, 2, 3], [3, 2, 1], [3, 2, 2], [1, 1, 2]];169
[[11, 15, 20], [14, 7, 19], [9, 5, 18]];[[2, 2, 1], [3, 3, 3], [2, 3, 1], [1, 3, 2], [3, 2, 3], [3, 2, 1], [1, 1, 2], [3, 2, 2], [1, 3, 1], [2, 2, 3]];[[1, 3, 2], [1, 3, 1], [2, 3, 1], [2, 2, 1], [2, 2, 3], [3, 2, 3], [3, 3, 3], [3, 2, 1], [3, 2, 2], [1, 1, 2]];169
[[8, 5, 5], [19, 13, 18], [9, 6, 8]];[[1, 1, 2], [3, 1, 1], [1, 3, 1], [3, 1, 2], [2, 2, 1], [2, 2, 3], [1, 2, 3], [3, 2, 2], [3, 3, 2], [1, 3, 3]];[[1, 1, 2], [3, 1, 2], [3, 1, 1], [2, 2, 1], [2, 2, 3], [1, 2, 3], [1, 3, 3], [1, 3, 1], [3, 3, 2], [3, 2, 2]];132
[[16, 19, 5], [12, 20, 11], [8, 11, 12]];[[1, 1, 2], [1, 2, 1], [2, 1, 2], [2, 1, 3], [2, 3, 3], [3, 2, 1], [2, 1, 1], [1, 1, 3], [3, 2, 3], [3, 1, 1]];[[1, 1, 2], [1, 1, 3], [1, 2, 1], [3, 2, 1], [3, 2, 3], [2, 3, 3], [2, 1, 3], [2, 1, 2], [2, 1, 1], [3, 1, 1]];162
[[16, 19, 5], [12, 20, 11], [8, 11, 12]];[[1, 1, 2], [1, 2, 1], [2, 1, 2], [2, 1, 3], [2, 3, 3], [3, 2, 1], [2, 1, 1], [1, 1, 3], [3, 2, 3], [3, 1, 1]];[[1, 2, 1], [3, 2, 1], [3, 2, 3], [2, 3, 3], [2, 1, 3], [1, 1, 3], [1, 1, 2], [2, 1, 2], [2, 1, 1], [3, 1, 1]];162
[[16, 19, 5], [12, 20, 11], [8, 11, 12]];[[1, 1, 2], [1, 2, 1], [2, 1, 2], [2, 1, 3], [2, 3, 3], [3, 2, 1], [2, 1, 1], [1, 1, 3], [3, 2, 3], [3, 1, 1]];[[2, 3, 3], [2, 1, 3], [2, 1, 2], [2, 1, 1], [3, 1, 1], [1, 1, 2], [1, 1, 3], [1, 2, 1], [3, 2, 1], [3, 2, 3]];162
[[16, 19, 5], [12, 20, 11], [8, 11, 12]];[[1, 1, 2], [1, 2, 1], [2, 1, 2], [2, 1, 3], [2, 3, 3], [3, 2, 1], [2, 1, 1], [1, 1, 3], [3, 2, 3], [3, 1, 1]];[[2, 3, 3], [2, 1, 3], [2, 1, 2], [2, 1, 1], [3, 1, 1], [1, 1, 3], [1, 1, 2], [1, 2, 1], [3, 2, 1], [3, 2, 3]];162
[[13, 7, 12], [14, 9, 14], [11, 17, 6]];[[2, 2, 1], [1, 1, 3], [1, 2, 2], [2, 2, 3], [1, 2, 1], [2, 3, 2], [2, 2, 2], [2, 3, 3], [3, 3, 3], [1, 1, 2]];[[2, 2, 3], [2, 2, 1], [1, 2, 1], [1, 1, 3], [1, 1, 2], [1, 2, 2], [2, 2, 2], [2, 3, 2], [2, 3, 3], [3, 3, 3]];131
[[18, 20, 9], [6, 5, 20], [19, 6, 11]];[[2, 2, 2], [3, 3, 1], [3, 1, 2], [3, 1, 3], [3, 2, 1], [1, 2, 1], [2, 2, 3], [2, 1, 1], [1, 3, 1], [1, 1, 1]];[[3, 1, 2], [3, 1, 3], [2, 2, 3], [2, 2, 2], [2, 1, 1], [1, 1, 1], [1, 2, 1], [1, 3, 1], [3, 3, 1], [3, 2, 1]];145
[[18, 20, 9], [6, 5, 20], [19, 6, 11]];[[2, 2, 2], [3, 3, 1], [3, 1, 2], [3, 1, 3], [3, 2, 1], [1, 2, 1], [2, 2, 3], [2, 1, 1], [1, 3, 1], [1, 1, 1]];[[3, 2, 1], [3, 3, 1], [1, 3, 1], [1, 2, 1], [1, 1, 1], [2, 1, 1], [2, 2, 2], [2, 2, 3], [3, 1, 3], [3, 1, 2]];145
[[19, 18, 5], [5, 7, 6], [20, 6, 9]];[[1, 3, 1], [3, 3, 3], [3, 2, 1], [1, 1, 1], [1, 2, 2], [1, 1, 2], [2, 1, 2], [1, 2, 3], [3, 1, 3], [2, 2, 2]];[[3, 3, 3], [3, 1, 3], [1, 2, 3], [1, 2, 2], [1, 1, 2], [1, 1, 1], [1, 3, 1], [3, 2, 1], [2, 2, 2], [2, 1, 2]];129
[[13, 19, 5], [10, 6, 5], [6, 14, 11]];[[1, 2, 2], [3, 3, 1], [1, 1, 1], [2, 3, 1], [1, 1, 3], [3, 2, 3], [3, 3, 2], [3, 1, 1], [2, 2, 3], [1, 3, 1]];[[2, 3, 1], [2, 2, 3], [3, 2, 3], [1, 1, 3], [1, 1, 1], [1, 3, 1], [1, 2, 2], [3, 3, 2], [3, 3, 1], [3, 1, 1]];132
